X_id,career_AST,career_FG%,career_PTS,name,position
anderwa01,0.2,39.2,3.6,Wally Anderzunas,Small Forward
andrima01,0.0,0.0,0.0,Martynas Andriuskevicius,Center
anieldo01,0.0,0.0,3.0,Don Anielak,Forward
anigbik01,0.1,33.3,0.9,Ike Anigbogu,Center
anslemi01,0.4,51.3,6.9,Michael Ansley,Small Forward
anstech01,0.8,41.3,5.2,Chris Anstey,Center
antetgi01,4.1,52.1,18.8,Giannis Antetokounmpo,Point Guard and Power Forward and Small Forward and Shooting Guard
antetko01,0.0,0.0,1.0,Kostas Antetokounmpo,Power Forward
antetth01,0.0,75.0,3.0,Thanasis Antetokounmpo,Small Forward
anthoca01,3.0,44.9,24.0,Carmelo Anthony,Small Forward and Power Forward
anthogr01,4.0,40.3,7.3,Greg Anthony,Point Guard
anthojo01,0.2,51.3,2.2,Joel Anthony,Power Forward and Center
anticpe01,0.9,39.2,6.3,Pero Antic,Center
anunoog01,0.7,46.1,6.4,OG Anunoby,Small Forward
applike01,0.2,25.0,1.2,Keith Appling,Point Guard
araujra01,0.3,40.5,2.8,Rafael Araujo,Center
arcenst01,0.6,39.3,7.1,Stacey Arceneaux,Forward
archiro01,0.4,28.3,1.2,Robert Archibald,Center and Power Forward
architi01,7.4,46.7,18.8,Tiny Archibald,Point Guard
arcidry01,2.9,44.4,5.6,Ryan Arcidiacono,Point Guard
ardji01,0.6,40.2,4.4,Jim Ard,Center
arenagi01,5.3,42.1,20.7,Gilbert Arenas,Point Guard
arizatr01,2.2,42.2,10.7,Trevor Ariza,Small Forward and Shooting Guard
arizipa01,2.3,42.1,22.8,Paul Arizin,Small Forward
arlaujo01,0.9,32.6,3.8,Joe Arlauckas,Small Forward
armstbj01,3.3,47.7,9.8,B.J. Armstrong,Point Guard
armstbo01,0.2,29.7,1.5,Bob Armstrong,Center/Forward
armstbr01,0.2,35.2,2.2,Brandon Armstrong,Shooting Guard
armstcu01,2.3,29.5,6.8,Curly Armstrong,Guard/Forward
armstda01,4.0,40.9,9.2,Darrell Armstrong,Point Guard
armsthi01,0.3,50.1,3.0,Hilton Armstrong,Center and Power Forward
armstta01,1.1,45.4,3.8,Tate Armstrong,Shooting Guard
arnelje01,0.6,31.7,4.7,Jesse Arnelle,Power Forward
arnetja01,1.2,36.5,3.7,Jay Arnette,Point Guard and Shooting Guard
arnzebo01,0.3,46.5,4.0,Bob Arnzen,Small Forward
arroyca01,3.1,43.8,6.6,Carlos Arroyo,Shooting Guard and Point Guard
arthuda01,0.8,44.4,6.5,Darrell Arthur,Small Forward and Power Forward
arthujo01,1.5,34.3,3.2,John Arthurs,Guard
artisja01,1.2,39.2,5.1,Jamel Artis,Shooting Guard
asikom01,0.6,52.8,5.3,Omer Asik,Center
askewvi01,2.2,47.9,7.1,Vincent Askew,Shooting Guard
askinke01,0.8,40.1,3.8,Keith Askins,Small Forward
asmondo01,0.7,13.3,0.7,Don Asmonga,Guard
athadi01,1.2,39.3,3.2,Dick Atha,Shooting Guard
atkinch01,3.4,41.2,9.9,Chucky Atkins,Point Guard and Shooting Guard
attleal01,3.5,45.1,8.9,Al Attles,Point Guard
aubucch01,0.7,25.3,2.2,Chet Aubuchon,Guard
augmost01,1.6,46.9,8.0,Stacey Augmon,Small Forward and Shooting Guard
augusdj01,4.0,41.3,9.8,D.J. Augustin,Point Guard
augusja01,0.1,51.4,1.6,James Augustine,Power Forward
austiis01,1.2,44.6,7.6,Isaac Austin,Center
austijo01,1.4,37.5,7.6,Johnny Austin,Shooting Guard
austike01,0.1,46.2,1.7,Ken Austin,Small Forward
aventan01,0.8,40.3,5.6,Anthony Avent,Power Forward
averibi01,2.9,40.5,12.1,Bird Averitt,Shooting Guard
averywi01,1.4,33.0,2.7,William Avery,Point Guard
awtrede01,2.0,45.9,4.8,Dennis Awtrey,Center
ayongu01,1.3,53.6,4.7,Gustavo Ayon,Center and Power Forward
pendeje02,0.4,55.3,2.9,Jeff Ayres,Center and Power Forward
aytonde01,1.8,58.5,16.3,Deandre Ayton,Center
azubuke01,1.1,45.9,10.5,Kelenna Azubuike,Shooting Guard and Small Forward
babbch01,0.2,26.7,1.6,Chris Babb,Shooting Guard
babbilu01,0.6,40.8,4.8,Luke Babbitt,Small Forward and Power Forward
babicmi01,0.5,37.5,1.8,Milos Babic,Center and Power Forward
bachjo01,0.7,28.6,3.5,Johnny Bach,Forward/Guard
bacondw01,0.9,43.2,5.1,Dwayne Bacon,Shooting Guard
baconhe01,0.8,36.6,3.5,Henry Bacon,Shooting Guard
baechji01,2.1,38.8,9.7,Jim Baechtold,Small Forward
bagarda01,0.4,36.1,2.6,Dalibor Bagaric,Center
baglejo01,6.0,43.7,8.7,John Bagley,Point Guard
baglema01,1.0,50.4,14.9,Marvin Bagley III,Power Forward
baileca01,0.0,100.0,2.0,Carl Bailey,Center
bailegu01,1.1,40.6,2.6,Gus Bailey,Shooting Guard
baileja01,0.8,48.4,8.8,James Bailey,Power Forward
baileth01,1.4,47.3,12.8,Thurl Bailey,Power Forward and Small Forward
baileto01,0.6,40.7,3.3,Toby Bailey,Shooting Guard
bairsca01,0.2,29.6,1.2,Cameron Bairstow,Center and Power Forward
bakerji01,0.8,20.0,1.2,Jimmie Baker,Power Forward
bakerla01,0.0,0.0,0.0,LaMark Baker,Point Guard
bakerma01,0.2,0.0,0.0,Maurice Baker,Point Guard
bakerno01,0.0,0.0,0.0,Norm Baker,Guard
bakerro01,1.8,35.8,3.1,Ron Baker,Shooting Guard
bakervi01,1.9,48.5,15.0,Vin Baker,Power Forward and Center
baldwwa01,1.4,35.5,3.1,Wade Baldwin,Point Guard
balkmre01,0.6,51.0,4.0,Renaldo Balkman,Small Forward and Power Forward
ballce01,0.0,37.5,1.1,Cedric Ball,Power Forward
balllo01,6.4,38.0,10.0,Lonzo Ball,Point Guard
ballagr01,2.2,47.2,12.4,Greg Ballard,Small Forward
baltihe01,0.3,20.2,2.4,Herschel Baltimore,Forward
bambamo01,0.8,48.1,6.2,Mohamed Bamba,Center
banksge01,2.9,53.9,11.3,Gene Banks,Small Forward and Power Forward
banksma01,2.1,43.2,5.9,Marcus Banks,Point Guard
bankswa01,0.5,50.0,2.6,Walker Banks,Center
bannike01,0.4,48.8,5.9,Ken Bannister,Power Forward
bantomi01,2.3,46.8,12.1,Mike Bantom,Small Forward and Power Forward
barbejo01,0.0,25.0,1.4,John Barber,Forward
barbole01,2.1,45.9,10.6,Leandro Barbosa,Point Guard and Shooting Guard
bardost01,1.3,32.9,2.2,Steve Bardo,Shooting Guard
bareajo01,3.9,42.4,9.0,J.J. Barea,Point Guard and Shooting Guard
bargnan01,1.2,43.9,14.3,Andrea Bargnani,Power Forward and Center
barkecl01,2.0,31.6,3.7,Cliff Barker,Shooting Guard
barketo01,0.8,42.2,6.5,Tom Barker,Center
barklch01,3.9,54.1,22.1,Charles Barkley,Small Forward and Power Forward
barkler01,1.5,35.6,2.9,Erick Barkley,Point Guard
barksdo01,2.1,37.0,11.0,Don Barksdale,Small Forward and Power Forward
barneha02,1.5,44.6,13.6,Harrison Barnes,Power Forward and Small Forward
barneha01,0.2,28.1,2.0,Harry Barnes,Small Forward
barneji01,0.8,42.9,8.8,Jim Barnes,Power Forward and Center
barnema01,2.1,48.1,16.0,Marvin Barnes,Power Forward
barnema02,1.8,43.6,8.2,Matt Barnes,Small Forward and Power Forward
barnedi01,2.8,45.6,15.8,Dick Barnett,Shooting Guard
barneji02,3.0,43.5,11.7,Jim Barnett,Point Guard and Shooting Guard
barnena01,0.7,46.2,2.3,Nathaniel Barnett,Point Guard
barnhjo01,2.9,40.6,8.6,John Barnhill,Shooting Guard and Point Guard
barnhno01,0.3,33.3,1.0,Norton Barnhill,Shooting Guard
barnhle01,3.2,36.8,9.4,Leo Barnhorst,Small Forward
barrjo01,0.9,28.3,5.1,John Barr,Forward
barrmi01,2.8,47.9,5.9,Mike Barr,Shooting Guard
barrmo01,0.9,40.3,2.0,Moe Barr,Guard
barrean01,2.0,36.9,3.3,Andre Barrett,Point Guard
barreer01,1.7,36.9,4.9,Ernie Barrett,Shooting Guard
barremi01,3.9,44.0,13.4,Mike Barrett,Point Guard and Shooting Guard
barroea01,0.5,37.1,4.6,Earl Barron,Center
barroda01,3.3,46.0,10.5,Dana Barros,Point Guard and Shooting Guard
barrybr01,3.2,46.0,9.3,Brent Barry,Small Forward and Shooting Guard
barrydr01,1.9,41.7,2.2,Drew Barry,Shooting Guard and Point Guard
barryjo01,2.2,43.4,5.7,Jon Barry,Shooting Guard
barryri01,4.9,45.6,24.8,Rick Barry,Small Forward
barteed01,1.0,25.1,4.2,Ed Bartels,Forward
bartovi01,0.1,25.4,0.9,Vic Bartolome,Center
bartowi01,2.4,43.1,10.5,Will Barton,Shooting Guard
basdeed01,0.4,40.5,2.1,Eddie Basden,Small Forward
baskeje01,0.1,30.8,1.2,Jerry Baskerville,Small Forward
bassbr01,0.8,49.9,8.7,Brandon Bass,Power Forward and Center
basseti01,1.2,42.3,6.2,Tim Bassett,Power Forward
bastoma01,0.2,61.6,2.7,Maceo Baston,Power Forward
bateeme01,0.6,39.1,3.4,Mengke Bateer,Center
batesbi01,1.9,47.4,11.7,Billy Ray Bates,Shooting Guard
bateske01,0.6,42.3,5.0,Keita Bates-Diop,Small Forward
batises01,0.2,43.8,1.7,Esteban Batista,Power Forward
batismi01,0.7,42.2,6.4,Mike Batiste,Power Forward
battito01,0.6,48.8,6.1,Tony Battie,Center and Power Forward
battish01,1.8,43.7,8.6,Shane Battier,Small Forward and Shooting Guard
battljo01,2.1,46.4,8.7,John Battle,Shooting Guard
battlke01,0.8,50.4,4.7,Kenny Battle,Shooting Guard
battoda01,0.6,44.8,3.2,Dave Batton,Center
battsll01,1.8,36.6,10.3,Lloyd Batts,Shooting Guard
batumni01,3.8,43.5,11.8,Nicolas Batum,Small Forward and Shooting Guard
baumjo01,0.6,48.0,6.1,Johnny Baum,Small Forward
baumhfr01,1.2,29.8,14.0,Frankie Baumholtz,Guard
baxtelo01,0.2,46.6,3.9,Lonny Baxter,Power Forward and Center
bayleje01,2.9,41.1,8.4,Jerryd Bayless,Point Guard and Shooting Guard
bayloel01,4.3,43.1,27.4,Elgin Baylor,Small Forward
bayneho01,1.0,36.0,4.9,Howard Bayne,Power Forward
baynear01,0.7,49.8,5.4,Aron Baynes,Center
bazarse01,1.4,50.0,3.0,Sergei Bazarevich,Point Guard
bazemke01,1.9,41.9,8.7,Kent Bazemore,Small Forward and Shooting Guard
beached01,0.3,21.1,1.8,Ed Beach,Forward
bealbr01,3.7,45.2,19.8,Bradley Beal,Shooting Guard
beardal01,0.0,52.2,2.5,Al Beard,Center
beardbu01,3.6,48.7,9.3,Butch Beard,Point Guard
beardra01,4.4,36.6,15.9,Ralph Beard,Guard
beaslch01,3.1,45.6,9.4,Charles Beasley,Shooting Guard
beaslje01,0.0,33.3,1.0,Jerome Beasley,Power Forward
beasljo01,1.2,49.1,13.7,John Beasley,Center and Power Forward
beaslma01,0.8,46.1,7.2,Malik Beasley,Shooting Guard
beaslmi01,1.3,46.5,12.4,Michael Beasley,Power Forward and Small Forward
beatyze01,1.5,49.4,17.1,Zelmo Beaty,Center and Power Forward
beaubro01,2.1,43.9,7.1,Rodrigue Beaubois,Point Guard
beckby01,1.3,50.5,11.5,Byron Beck,Power Forward and Center
beckco01,1.4,45.1,2.7,Corey Beck,Point Guard
becker01,1.8,38.3,6.3,Ernie Beck,Shooting Guard
beckear01,1.0,48.0,12.5,Arthur Becker,Power Forward and Small Forward
beckemo01,0.7,19.6,3.8,Moe Becker,Guard/Forward
bedelbo01,1.2,42.3,8.4,Bob Bedell,Power Forward
bedfowi01,0.5,41.6,4.1,William Bedford,Center
beendha01,0.5,26.5,8.4,Hank Beenders,Center/Forward
behagro01,1.6,42.5,10.3,Ron Behagen,Power Forward
behnkel01,1.0,27.3,4.0,Elmer Behnke,Center
belinma01,1.7,42.5,10.0,Marco Belinelli,Shooting Guard and Small Forward
bellch01,2.3,41.2,8.5,Charlie Bell,Shooting Guard
bellde01,0.4,37.4,2.8,Dennis Bell,Small Forward
belljo01,1.4,57.0,3.9,Jordan Bell,Center
bellra01,1.7,43.4,9.9,Raja Bell,Shooting Guard
belltr01,0.7,22.2,1.8,Troy Bell,Point Guard
bellwh01,1.6,37.9,5.1,Whitey Bell,Point Guard
bellawa01,2.4,51.6,20.1,Walt Bellamy,Center
bembrde01,1.9,44.5,6.3,DeAndre' Bembry,Shooting Guard and Small Forward
bemorir01,1.0,34.7,6.3,Irv Bemoras,Small Forward
benbole01,1.6,39.4,5.5,Leon Benbow,Shooting Guard
bendedr01,1.2,39.4,5.3,Dragan Bender,Power Forward
bendejo01,0.6,41.7,5.5,Jonathan Bender,Small Forward
benimje01,0.0,-,0.0,Jerrelle Benimon,Power Forward
benjabe01,1.3,49.7,11.4,Benoit Benjamin,Center
benjaco01,0.9,39.0,5.5,Corey Benjamin,Shooting Guard and Point Guard
bennean01,0.5,39.2,4.4,Anthony Bennett,Power Forward
benneel01,1.0,34.0,2.3,Elmer Bennett,Point Guard
bennema01,0.4,53.4,4.0,Mario Bennett,Power Forward and Small Forward
benneme01,1.0,38.2,6.9,Mel Bennett,Power Forward
bennesp01,1.4,38.2,7.5,Spider Bennett,Point Guard
benneto01,2.0,41.2,3.5,Tony Bennett,Point Guard
bennewi01,0.9,42.5,4.8,Winston Bennett,Small Forward
benoida01,0.6,43.8,7.0,David Benoit,Small Forward
bensoke02,0.0,0.0,0.0,Keith Benson,Center
bensoke01,1.8,49.3,9.1,Kent Benson,Center
bentibe01,0.0,0.0,0.0,Ben Bentil,Power Forward
bercege01,0.7,31.3,3.3,Gene Berce,Guard/Forward
bergega01,0.2,27.3,1.3,Gary Bergen,Center
berghla01,0.9,40.8,6.1,Larry Bergh,Power Forward
berryri01,1.3,45.0,11.0,Ricky Berry,Shooting Guard
berrywa01,1.4,53.9,14.1,Walter Berry,Power Forward and Small Forward
bertada02,0.8,25.5,2.8,Dairis Bertans,Shooting Guard
bertada01,1.0,44.4,6.2,Davis Bertans,Power Forward
beshode01,2.0,35.2,3.5,Del Beshore,Point Guard
besttr01,3.5,43.1,7.6,Travis Best,Point Guard
beverpa01,3.5,41.2,9.0,Patrick Beverley,Point Guard and Shooting Guard
bhullsi01,0.3,50.0,0.7,Sim Bhullar,Center
bialowe01,0.8,41.8,8.7,Wesley Bialosuknia,Shooting Guard
biancal01,2.2,37.4,8.1,Al Bianchi,Point Guard and Shooting Guard
biasaha01,0.0,40.0,1.0,Hank Biasatti,Guard
bibbyhe01,3.3,42.4,8.6,Henry Bibby,Point Guard
bibbymi01,5.5,43.6,14.7,Mike Bibby,Point Guard
biedeed01,0.4,0.0,0.6,Ed Biedenbach,Guard
biedran01,0.9,59.4,6.3,Andris Biedrins,Center
bielkdo01,0.1,55.6,2.0,Don Bielke,Center
bigelbo01,0.4,41.4,2.5,Bob Bigelow,Small Forward
billili01,1.1,42.7,8.5,Lionel Billingy,Power Forward
billuch01,5.4,41.5,15.2,Chauncey Billups,Point Guard and Shooting Guard
bingda01,6.0,44.1,20.3,Dave Bing,Point Guard and Shooting Guard
biniojo01,0.1,40.0,1.3,Joe Binion,Power Forward
birchkh01,0.8,57.4,4.5,Khem Birch,Center
birdja01,0.6,57.7,3.0,Jabari Bird,Shooting Guard
birdje01,0.4,37.5,2.3,Jerry Bird,Forward
birdla01,6.3,49.6,24.3,Larry Bird,Power Forward and Small Forward
birdsot01,3.2,50.6,18.0,Otis Birdsong,Shooting Guard
bishoga01,1.6,32.5,8.3,Gale Bishop,Forward
biyombi01,0.5,51.7,4.9,Bismack Biyombo,Center
bjeline01,1.5,46.0,7.1,Nemanja Bjelica,Power Forward
blabuw01,0.4,43.3,2.1,Uwe Blab,Center
blackch01,2.3,28.3,9.2,Charlie Black,Forward/Center
blackno01,0.7,30.0,2.7,Norman Black,Shooting Guard
blackta01,0.5,55.0,4.9,Tarik Black,Center
blackto01,0.6,40.2,4.2,Tom Black,Center
blackro01,3.0,49.3,18.0,Rolando Blackman,Shooting Guard
blackal01,0.3,33.3,1.3,Alex Blackwell,Small Forward
blackco01,0.4,36.7,3.4,Cory Blackwell,Small Forward
blackja01,0.8,61.5,1.4,James Blackwell,Point Guard
blackna01,1.8,36.6,3.7,Nate Blackwell,Point Guard
blairde01,0.8,52.4,6.8,DeJuan Blair,Center and Power Forward
blakest01,4.0,40.1,6.5,Steve Blake,Point Guard
blakean01,0.8,40.6,7.5,Antonio Blakeney,Shooting Guard
blalowi01,1.2,30.0,1.8,Will Blalock,Point Guard
blanege01,1.3,38.0,3.3,George Blaney,Point Guard
blankla01,0.8,43.6,2.0,Lance Blanks,Shooting Guard
blantri01,0.5,42.9,3.0,Ricky Blanton,Small Forward
blatcan01,1.4,46.7,10.1,Andray Blatche,Center and Power Forward
blaylmo01,6.7,40.9,13.5,Mookie Blaylock,Point Guard
bledser01,4.8,45.5,14.1,Eric Bledsoe,Point Guard
blevile01,0.5,25.0,1.0,Leon Blevins,Guard
blockjo01,1.3,43.3,11.9,John Block,Power Forward and Center
bloommi01,0.8,25.5,6.8,Mike Bloom,Forward/Center
blossja01,0.5,44.3,4.2,Jaron Blossomgame,Small Forward
blounco01,0.7,47.1,3.6,Corie Blount,Power Forward and Center
blounma01,0.8,50.4,8.2,Mark Blount,Center
blueva01,1.2,30.8,3.0,Vander Blue,Shooting Guard
blumera01,1.4,45.9,4.6,Ray Blume,Shooting Guard
bobbne01,2.1,35.0,4.6,Nelson Bobb,Point Guard
bobbito01,0.0,40.0,2.5,Tony Bobbitt,Shooting Guard
bockhbu01,3.5,40.3,11.5,Bucky Bockhorn,Shooting Guard
boerwto01,3.2,45.3,7.2,Tom Boerwinkle,Center
boganke01,1.3,39.4,6.3,Keith Bogans,Small Forward and Shooting Guard
bogdabo01,3.5,43.1,12.9,Bogdan Bogdanovic,Shooting Guard
bogdabo02,1.4,46.3,13.3,Bojan Bogdanovic,Small Forward
boguemu01,7.6,45.8,7.7,Muggsy Bogues,Point Guard
bogutan01,2.2,53.5,9.6,Andrew Bogut,Power Forward and Center
bohanet01,0.2,42.9,1.4,Etdrick Bohannon,Power Forward and Small Forward
bolma01,0.3,40.7,2.6,Manute Bol,Center
boldejo01,0.9,49.4,4.7,Jonah Bolden,Power Forward
bolgebi01,0.6,40.7,2.8,Bill Bolger,Small Forward
bolomjo01,0.1,54.5,1.7,Joel Bolomboy,Power Forward
bolstdo01,0.0,40.0,1.3,Doug Bolstorff,Guard
bonsage01,0.0,25.0,1.3,George Bon Salle,Power Forward
bondph01,0.3,33.3,0.6,Phil Bond,Shooting Guard
bondwa01,1.2,40.9,5.7,Walter Bond,Shooting Guard
boneyde01,0.0,31.6,2.4,Dexter Boney,Shooting Guard
bongais01,0.7,15.2,0.9,Isaac Bonga,Point Guard
bonharo01,0.4,38.8,6.1,Ron Bonham,Shooting Guard and Small Forward
bonnean01,1.4,46.8,6.9,Anthony Bonner,Small Forward and Power Forward
bonnema01,0.7,46.4,5.8,Matt Bonner,Power Forward and Center
bookebu01,0.5,49.2,5.8,Butch Booker,Center
bookede01,4.2,43.7,21.4,Devin Booker,Shooting Guard
bookeme01,2.3,40.0,5.2,Melvin Booker,Point Guard
booketr01,1.1,51.5,6.9,Trevor Booker,Power Forward
boonejo01,0.5,54.4,5.2,Josh Boone,Center and Power Forward
boonero01,3.7,46.1,16.8,Ron Boone,Shooting Guard
boothca01,0.4,45.1,3.3,Calvin Booth,Center
boothke01,0.9,32.5,2.9,Keith Booth,Small Forward
boozebo01,1.4,46.2,14.8,Bob Boozer,Small Forward and Power Forward
boozeca01,2.2,52.1,16.2,Carlos Boozer,Center and Power Forward
borchcu01,0.8,42.1,3.1,Curtis Borchardt,Center
bornhja01,0.7,29.5,4.6,Jake Bornheimer,Forward/Center
borrela01,0.6,44.4,3.6,Lazaro Borrell,Small Forward
borsaik01,0.2,35.1,2.7,Ike Borsavage,Center/Forward
borylvi01,2.1,37.1,11.2,Vince Boryla,Small Forward
boshch01,2.0,49.4,19.2,Chris Bosh,Power Forward and Center
bostiji01,0.8,54.5,6.5,Jim Bostic,Power Forward
bostola01,0.2,46.2,4.3,Lawrence Boston,Power Forward
bosweto01,1.6,53.3,7.7,Tom Boswell,Power Forward
bouchch01,0.1,44.2,3.2,Chris Boucher,Power Forward
boumtru01,0.1,36.8,1.0,Ruben Boumtje-Boumtje,Center
bovendo01,2.0,33.9,9.0,Don Boven,Small Forward and Shooting Guard
bowdlca01,0.2,40.4,3.0,Cal Bowdler,Small Forward and Power Forward
bowenbr01,1.2,40.9,6.1,Bruce Bowen,Small Forward
